Southeast Farallon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,
From: 20180520,,,M = 1,,Yes = 1,,,,,,,,,,,,,,,,,,,,,,
To: 20190601,,,F = 2,,No = 0,,,,,,,,,,,,,,,,,,,,,,
Who: Scott Shaffer,,,,,,,,,,,,,,,,,,,,,,,,,,,
What: GPS Logger deployments on pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Year,Spp,Location,birdID,birdNo,Partner,Colony,Band,Sex,Logger,dDate,dTime,dMass,Puke,rDate,rTime,rMass,Puke,Cul,Tar,Skull,MnBill,MxBill,Blood,Blot,Feathers,Status
20,2018,WEGU,SEFI,201822020,20,21,North Landing,124600481,2,533,20180525,10:58:00,1050,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3e
21,2018,WEGU,SEFI,201822021,21,20,North Landing,124600482,1,530,20180525,11:26:00,1190,0,20180530,14:32:00,1120,0,61.9,74.1,133.0,20.5,23.0,1,1,1,3e
22,2018,WEGU,SEFI,201822022,22,26,North Landing,124600483,2,532,20180525,11:46:00,980,1,20180529,13:46:00,960,1,57.0,67.3,118.3,18.0,21.4,1,1,1,3e
23,2018,WEGU,SEFI,201822023,23,28,North Landing,124600484,1,522,20180525,13:08:00,1100,1,20180529,17:35:00,1120,0,61.0,70.5,131.3,20.5,22.8,1,1,1,3e
24,2018,WEGU,SEFI,201822024,24,27,North Landing,124600485,1,525,20180525,13:45:00,1240,1,20180530,18:00:00,1220,0,62.6,73.5,131.5,21.0,22.7,1,1,1,3e
25,2018,WEGU,SEFI,201822025,25,30,North Landing,124600486,2,517,20180525,14:13:00,920,1,20180529,15:33:00,920,0,56.1,64.0,121.0,18.8,20.5,0,1,1,3e
26,2018,WEGU,SEFI,201822026,26,22,North Landing,124600487,1,524,20180525,16:12:00,1200,1,20180530,10:04:00,1140,0,58.5,71.7,128.8,20.0,21.6,1,1,1,3e
27,2018,WEGU,SEFI,201822027,27,24,North Landing,124600488,2,531,20180525,19:10:00,970,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3e
28,2018,WEGU,SEFI,201822028,28,23,North Landing,124600489,2,529,20180526,08:23:00,930,0,20180530,09:25:00,930,0,51.5,64.0,117.0,16.5,18.0,1,1,1,3e
29,2018,WEGU,SEFI,201822029,29,31,E of Russia House,124600490,1,527,20180526,10:19:00,1210,1,20180530,11:00:00,1110,0,58.0,72.5,129.8,20.6,22.7,1,1,1,3e
30,2018,WEGU,SEFI,201822030,30,25,North Landing,124600491,1,519,20180526,12:20:00,1230,0,20180531,16:15:00,1240,0,60.2,73.8,129.9,20.5,23.0,1,1,1,3e
31,2018,WEGU,SEFI,201822031,31,29,E of Russia House,124600492,2,520,20180527,09:48:00,850,0,20180529,19:00:00,850,0,54.5,68.4,118.0,18.5,20.5,1,1,1,3e
